,ERA,HOF,Opposing_BA,completed,firstName,games,hits,homeruns,lastName,losses,outs_pitched,player_id,runs_earned,saves,seasons,shutouts,started,strikes,walks,wins,WAR,ERA,wins,strikes,games,seasons,Opposing_BA,predictions
383,4.4612500000000015,0,0.21125,162.0,William Franklin,206.0,1819.0,43.0,Hart,120.0,4746.0,hartbi01,817.0,3.0499999999999994,8.0,5.049999999999999,190.0,431.0,704.0,66.0,-1.49,4.4612500000000015,66.0,431.0,206.0,8.0,0.21125,0
389,4.016,0,1.118,264.0,Matthew Aloysius,303.0,2445.0,53.01,Kilroy,133.0,7307.0,kilroma01,939.0,0.1,10.0,19.050000000000008,292.0,1170.0,754.0,141.01,3.24,4.016,141.01,1170.0,303.0,10.0,1.118,0
390,4.077272727272727,0,1.0845454545454547,328.0,Charles Frederick,397.0,3105.0,69.0,King,154.0,9572.0,kingsi01,1126.0,6.049999999999999,11.0,19.040000000000006,370.0,1229.0,970.0,203.0,0.62,4.077272727272727,203.0,1229.0,397.0,11.0,1.0845454545454547,0
403,5.772857142857142,0,0.14857142857142858,122.02,Elmer Ellsworth,149.0,1167.0,20.020000000000003,Smith,57.02,3631.0,smithel01,450.0,0.07,7.0,9.04,136.01999999999998,525.02,422.0,75.02000000000002,30.33,5.772857142857142,75.02000000000002,525.02,149.0,7.0,0.14857142857142858,0
415,4.3725,0,1.4575000000000002,296.01,Marcus Elmore,347.0,2699.0,82.01,Baldwin,165.01,8434.0,baldwma01,1051.0,4.049999999999999,8.0,14.02,328.0,1354.01,1307.0,156.01,-5.21,4.3725,156.01,1354.01,347.0,8.0,1.4575000000000002,0
416,3.908,0,0.254,104.0,Ebenezer Ambrose,109.0,997.0,32.0,Beatin,56.0,2838.0,beatied01,387.0,0.05,5.0,5.02,108.0,335.0,372.0,48.01,-1.47,3.908,48.01,335.0,109.0,5.0,0.254,0
421,4.5200000000000005,0,1.6976923076923074,286.0,Elmer Ellsworth,341.0,3063.0,61.03999999999999,Cunningham,167.0,8180.0,cunnibe01,1279.0,2.109999999999999,13.0,4.099999999999999,310.0,718.0,1064.0,142.01999999999995,0.2,4.5200000000000005,142.01999999999995,718.0,341.0,13.0,1.6976923076923074,0
429,3.4139999999999997,0,2.196,129.0,Henry John,151.0,1328.0,42.0,Gruber,78.0,3718.0,grubehe01,505.0,1.04,5.0,5.02,139.0,346.0,479.0,61.0,-0.05,3.4139999999999997,61.0,346.0,151.0,5.0,2.196,0
433,4.463333333333334,0,1.79,97.0,Michael Joseph,122.0,987.0,41.0,Madden,50.0,2874.0,maddeki01,417.0,2.04,6.0,7.01,109.0,284.0,336.0,54.01,0.92,4.463333333333334,54.01,284.0,122.0,6.0,1.79,0
455,5.08,0,0.7838888888888889,448.02,August,538.0,4562.0,120.04000000000002,Weyhing,232.02,12973.0,weyhigu01,1867.0,4.1599999999999975,18.0,28.08000000000001,503.0,1665.01,1566.0,264.03,-9.8,5.08,264.03,1665.01,538.0,18.0,0.7838888888888889,0
