,Unnamed: 0,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,extra_base_hits,firstName,games,hits,lastName,player_id,runs,WAR
2132,2132,194.0,49.04,0.2820754716981132,288.0,157.0,N,40.03,11.0,0.34848163091951584,0.7277670082780063,116.0,24.0,0.37928537735849055,0.0,Fernando,1148.0,1196.0,Vina,vinafe01,627.0,12.18
2133,2133,79.01,5.0699999999999985,0.2332859174964438,133.01,10.0,N,28.020000000000003,4.0,0.2802326556370007,0.5956475442097839,13.05,14.0,0.3154148885727833,0.0,Matthew Lovick,682.0,492.0,Walbeck,walbema01,215.01,-3.33
2134,2134,0.12999999999999998,0.12999999999999998,0.07207626133457333,5.079999999999998,0.0,N,0.12999999999999998,0.0,0.17009773341651066,0.2603093121191379,0.12999999999999998,0.0,0.09021157870262726,0.0,Steven John,552.0,3.0999999999999983,Wendell,wendetu01,1.12,0.14
2135,2135,296.0,34.04,0.2835542281127497,360.0,88.0,Y,198.0,21.0,0.33641183512912604,0.7988124324783887,94.03000000000002,42.0,0.4624005973492626,0.0,Rondell Bernard,1474.0,1519.0,White,whitero02,756.0,28.11
2136,2136,190.02,59.04999999999999,0.27261736852710056,308.01,28.0,Y,36.07,9.0,0.31676797305331383,0.6732721036195036,363.02,33.0,0.3565041305661898,0.0,Anthony Darrell,1303.0,1353.0,Womack,womacto01,739.0,2.26
2137,2137,522.01,36.02,0.2927083333333333,429.01,8.0,Y,287.01,104.0,0.3236585293992477,0.7847788997696181,80.00999999999998,87.0,0.4611203703703704,0.0,Garret Joseph,2228.0,2529.0,Anderson,anderga01,1084.01,25.6
2138,2138,0.18000000000000002,0.18000000000000002,0.02211302211302212,0.18000000000000002,0.0,N,0.18000000000000002,0.0,0.04326923076923078,0.19806038556038566,0.18000000000000002,0.0,0.15479115479115485,0.0,Armando German,762.0,0.18000000000000002,Benitez,benitar01,0.18000000000000002,0.3
2139,2139,2.099999999999999,0.11999999999999998,0.12309495896834698,0.11999999999999998,0.0,N,0.11999999999999998,0.0,0.12922002328288704,0.4105799294962516,0.11999999999999998,0.0,0.2813599062133645,0.0,Ricky Paul,562.0,2.099999999999999,Bottalico,bottari01,1.11,0.17
2140,2140,145.01,14.04,0.2547744819179196,304.01,25.0,N,46.04999999999999,17.0,0.34009484135595386,0.7213382383490461,56.03,21.0,0.3812433969930922,0.0,Darren William,916.0,627.0,Bragg,braggda01,341.0,9.02
2141,2141,0.14,0.14,0.0432950191570881,0.14,0.0,N,0.14,0.0,0.04839939024390241,0.1238783174469675,0.14,0.0,0.0754789272030651,0.0,Hector,647.0,1.13,Carrasco,carrahe01,1.13,-0.06
2142,2142,343.0,21.070000000000007,0.2961452928094885,563.0,67.0,N,112.01,18.0,0.3661462612982744,0.7959405533664732,63.03,59.0,0.4297942920681987,0.0,Jeffrey Howard,1617.0,1598.0,Cirillo,cirilje01,800.0,34.45
2143,2143,56.02,5.1,0.2413847837985769,114.01,4.0,N,23.040000000000006,13.0,0.28405343468783184,0.5995159415296489,4.099999999999998,23.0,0.31546250684181715,0.0,Jorge,646.0,441.01,Fabregas,fabrejo01,153.01,-2.14
2144,2144,0.1,0.1,0.12030905077262695,2.089999999999999,0.0,N,0.1,0.0,0.285201793721973,0.4717360100575138,0.1,0.0,0.18653421633554088,0.0,Bryce Bettencourt,261.0,1.09,Florie,floribr01,0.1,0.19
2145,2145,274.01,27.050000000000004,0.24291742013260997,392.0,45.0,N,137.02999999999997,12.0,0.302240176276166,0.6936808031598308,97.02,32.0,0.3914406268836648,0.0,Alexander Scott,1396.0,1209.0,Gonzalez,gonzaal01,623.0,11.1
2146,2146,33.03,7.049999999999999,0.2572178477690289,83.02000000000002,6.0,N,16.040000000000006,1.0,0.3329595102918156,0.7151773580608445,33.03,5.0,0.3822178477690289,0.0,Trenidad Aviel,476.0,196.0,Hubbard,hubbatr01,124.0,0.13
2147,2147,146.0,28.03,0.2635195697639677,243.0,13.0,N,25.040000000000006,1.0,0.3133259911894273,0.6596600216644796,260.02,29.0,0.34633403047505223,0.0,Brian Lee,1000.0,882.0,Hunter,huntebr02,500.0,7.44
2148,2148,6.119999999999997,0.16,0.15998511271799246,13.12,3.0,N,1.15,0.0,0.22410281280310387,0.436671932326711,0.16,2.0,0.21256911952360708,0.0,Kevin Thomas,191.0,30.09000000000001,Jarvis,jarvike01,19.110000000000007,0.62
2149,2149,211.0,4.099999999999998,0.2450469238790407,475.0,25.0,Y,167.01,29.0,0.3297458209297,0.7625482192612953,6.1,31.0,0.4328023983315954,0.0,Charles Edward,1188.0,940.0,Johnson,johnsch04,465.0,22.59
2150,2150,17.050000000000004,0.14,0.13890522875816996,30.03,0.0,N,0.14,0.0,0.17862521932208128,0.34653371605410743,0.14,2.0,0.16790849673202615,0.0,Jonathan Ray,405.0,85.01,Lieber,liebejo01,36.03999999999999,-1.1
2151,2151,257.0,10.07,0.27382645803698435,335.0,89.0,N,150.01999999999995,34.0,0.3370330843116329,0.783263525278916,8.099999999999998,43.0,0.4462304409672831,0.0,Michael Scott,1212.0,1155.0,Lieberthal,liebemi01,534.0,15.18
2152,2152,117.01,17.03,0.2605820105820106,195.0,14.0,N,44.0,23.0,0.3191065017949741,0.7044989180207236,30.030000000000005,30.0,0.3853924162257496,0.0,Keith Virgil,979.0,591.0,Lockhart,lockhke01,290.0,6.13
2153,2153,183.02,6.119999999999997,0.26342329128776765,284.01,22.0,N,96.03,43.0,0.3215856795254286,0.7267954184518001,7.129999999999997,29.0,0.4052097389263714,0.0,John Steven,1322.0,898.01,Mabry,mabryjo01,382.01,-1.97
2154,2154,190.0,9.06,0.2385865359814289,266.0,45.0,N,67.00999999999999,54.0,0.2927522501184273,0.6368714144207228,8.079999999999998,34.0,0.34411916430229555,0.0,Michael Scott,1305.0,925.0,Matheny,mathemi01,353.0,-0.33
2155,2155,75.02,7.089999999999999,0.24450073421439056,112.01,5.0,N,24.040000000000006,9.0,0.3026341450292869,0.6655783447356012,13.05,8.0,0.3629441997063143,0.0,Michael Howard,793.0,333.01,Mordecai,mordemi01,157.01,-2.66
2156,2156,102.01,6.039999999999999,0.27181603773584906,128.01,40.0,N,55.04,5.0,0.3345780075637895,0.7710225830354877,12.05,16.0,0.4364445754716981,0.0,Herbert Edward,529.0,461.0,Perry,perryhe01,241.0,5.15
2157,2157,548.01,31.07000000000001,0.2948135529055461,1338.0,176.0,N,696.01,97.0,0.3797063407431712,0.9298842699500612,329.0,111.0,0.55017792920689,0.0,Alexander Enmanuel,2784.0,3115.0,Rodriguez,rodrial01,2021.0,117.71
2158,2158,91.04,4.129999999999997,0.2341367437284801,196.01,42.0,N,65.04,26.0,0.31343584971093186,0.6923930558102924,10.109999999999998,7.0,0.3789572060993605,0.0,Kelly Lee,734.0,476.0,Stinnett,stinnke01,228.02,1.8
2159,2159,1.09,0.1,0.2610144390966308,1.09,0.0,N,0.1,0.0,0.28967971530249104,0.6095612406634684,0.1,0.0,0.31988152536097736,0.0,David Scott,605.0,7.049999999999999,Veres,veresda01,1.09,0.49
2160,2160,0.14,0.14,0.1079873883342091,1.13,0.0,N,1.13,0.0,0.1337075784638938,0.3418000640130268,0.14,0.0,0.20809248554913293,0.0,Gabriel Allen,472.0,4.1099999999999985,White,whitega01,1.13,-5.2e-18
2161,2161,1.11,0.11999999999999998,0.05253716043054843,7.089999999999999,0.0,N,0.11999999999999998,0.0,0.12991988854057815,0.20436888905313585,0.11999999999999998,1.0,0.07444900051255766,0.0,Terry Wayne,574.0,4.1,Adams,adamste01,2.109999999999999,-0.09
2162,2162,282.0,18.040000000000006,0.28449396471680594,596.0,41.0,N,146.01999999999995,22.0,0.3569195326641435,0.7818294676687859,53.02,55.0,0.4249099350046425,0.0,Edgardo Antonio,1506.0,1532.0,Alfonzo,alfoned01,777.0,28.65
2163,2163,301.0,22.040000000000006,0.27547631532948785,450.0,24.0,Y,186.0,22.0,0.3284203780839475,0.7617502155249543,23.030000000000005,47.0,0.4333298374410068,0.0,Richard Santo,1652.0,1576.0,Aurilia,aurilri01,745.0,18.09
2164,2164,267.01,18.06,0.2567364276833817,428.02,44.0,N,123.03,25.0,0.31993709821578825,0.715964864481847,19.06,50.0,0.3960277662660589,0.0,David Michael,1403.0,1239.01,Bell,bellda01,587.02,15.22
2165,2165,74.03999999999998,3.129999999999999,0.24142603550295855,139.01999999999998,16.0,N,22.04,19.0,0.30237591432959904,0.6304410030869955,6.1099999999999985,17.0,0.32806508875739643,0.0,Gary David,587.0,408.01,Bennett,bennega01,141.03,-3.05
2166,2166,0.14,0.14,0.2335526315789473,0.14,0.0,N,0.14,0.0,0.2451403887688984,0.5707982835057405,0.14,0.0,0.32565789473684204,0.0,Joseph Thomas,423.0,2.1299999999999986,Borowski,borowjo01,1.13,0.19
2167,2167,383.01,59.04999999999999,0.24857435297558125,867.0,87.0,Y,278.01,19.0,0.3379600152807844,0.7817588162750819,297.04,60.0,0.4437988009942975,0.0,Michael Terrance,1955.0,1700.0,Cameron,camermi01,1064.0,46.49
2168,2168,0.11,0.11,0.09987113402061852,1.1,0.0,N,0.11,0.0,0.1306782825140012,0.2518123031325579,0.11,0.0,0.12113402061855665,0.0,Giovanni,313.0,3.0999999999999988,Carrara,carragi01,2.089999999999999,0.05
2169,2169,39.03,2.1099999999999994,0.22028265107212475,103.03,7.0,N,12.05,1.0,0.2929653104103641,0.5906358757125083,3.0999999999999988,11.0,0.2976705653021442,0.0,Alberto Terrero,418.0,226.01,Castillo,castial01,98.01,1.71
2170,2170,123.05,13.119999999999996,0.2287894937190712,149.01,1.0,N,36.08999999999999,8.0,0.268419340888703,0.5952522301159584,5.159999999999998,21.0,0.3268328892272554,0.0,Juan Gabriel,1103.0,601.03,Castro,castrju01,253.03,-5.23
2171,2171,127.0,32.02,0.27252678008821674,319.0,13.0,N,40.02,14.0,0.3396708286038593,0.7102127315654219,213.01,18.0,0.37054190296156253,0.0,Roger Leandro,1100.0,865.0,Cedeno,cedenro01,478.0,1.72
2172,2172,233.0,11.099999999999998,0.2621359223300971,527.0,21.0,Y,251.0,55.0,0.3390625,0.8236609112974403,6.129999999999997,40.0,0.4845984112974404,0.0,Anthony Christopher,1559.0,1188.0,Clark,clarkto02,629.0,12.47
2173,2173,218.02,40.05,0.25480224677864,589.01,54.0,N,42.04,35.0,0.3415802119202365,0.6858655013416888,103.03,35.0,0.3442852894214523,0.0,Craig John,1624.0,1208.02,Counsell,counscr01,647.02,22.27
2174,2174,522.0,109.0,0.28440838126540674,1003.0,50.0,N,235.0,38.0,0.3519337016574586,0.7847603245005152,408.0,71.0,0.4328266228430567,0.0,Johnny David,2490.0,2769.0,Damon,damonjo01,1668.0,56.03
2175,2175,440.0,79.03000000000002,0.27726781857451405,820.0,72.0,Y,192.0,34.0,0.3520554493307839,0.7878086890716047,273.0,68.0,0.4357532397408208,0.0,Ray,1975.0,2054.0,Durham,durhara01,1249.0,33.64
2176,2176,103.0,4.079999999999999,0.2584394023242944,119.0,17.0,N,41.02,6.0,0.3085977482088025,0.696655302165637,8.059999999999999,11.0,0.3880575539568345,0.0,Brook Alexander,623.0,467.0,Fordyce,fordybr01,172.01,1.86
2177,2177,44.07,13.109999999999998,0.2406151742993848,81.04999999999998,2.0,N,66.05000000000001,6.0,0.2788820871125925,0.7029832491084913,10.109999999999998,14.0,0.4241011619958989,0.0,Gustavo Karim,488.0,352.02,Garcia,garcika01,180.01999999999995,-3.24
2178,2178,405.0,9.139999999999997,0.2765928168432641,1366.0,180.0,N,440.0,97.0,0.3992813833370761,0.9157641134870692,20.100000000000012,93.0,0.5164827301499931,0.0,Jason Gilbert,2260.0,2010.0,Giambi,giambja01,1227.0,50.45
2179,2179,411.01,55.02,0.29063888463306264,1183.01,51.0,Y,287.0,114.0,0.39982198975611066,0.9022044012774836,109.02,70.0,0.5023824115213728,0.0,Brian Stephen,1847.0,1897.0,Giles,gilesbr02,1121.0,50.9
2180,2180,391.01,36.03999999999999,0.2892796369824163,364.0,105.0,Y,90.01,24.0,0.3317466613777601,0.7249854588820144,133.0,42.0,0.39323879750425417,0.0,Mark James,1802.0,2040.0,Grudzielanek,grudzma01,946.0,26.29
2181,2181,249.01,7.099999999999998,0.2728348319924278,562.01,42.0,N,106.03,27.0,0.3614495752940232,0.7718376491227028,3.12,31.0,0.4103880738286797,0.0,Scott Allen,1314.0,1153.0,Hatteberg,hattesc01,538.0,10.05
2182,2182,9.06,0.1,0.1505023002534973,5.06,0.0,N,0.1,0.0,0.1702127659574468,0.3655934813832285,0.1,0.0,0.1953807154257816,0.0,Jimmy Wayne,230.0,32.059999999999995,Haynes,hayneji01,16.05,0.25
2183,2183,5.089999999999998,0.12999999999999998,0.09336769546047324,20.070000000000007,2.0,N,2.109999999999998,0.0,0.15151250980734032,0.28114673945399005,0.12999999999999998,0.0,0.12963422964664972,0.0,Dustin Michael,358.0,30.07000000000001,Hermanson,hermadu01,14.07,-1.32
2184,2184,270.01,33.029999999999994,0.2720977596741344,649.0,37.0,Y,187.01,36.0,0.3580028328611898,0.8128093501727987,91.01,52.0,0.4548065173116089,0.0,Robert Leigh,1362.0,1336.0,Higginson,higgibo02,736.0,22.99
2185,2185,192.01,22.06,0.2729551864619242,262.0,9.0,N,98.0,24.0,0.3283496262219667,0.7674376863911927,75.03000000000002,16.0,0.439088060169226,0.0,Todd Mathew,1118.0,871.0,Hollandsworth,hollato01,451.0,6.52
2186,2186,4.139999999999997,1.16,0.20278578290105675,5.149999999999997,1.0,N,2.1599999999999966,0.0,0.2428507795100223,0.5699401166858147,0.17,2.0,0.3270893371757924,0.0,Jason Derik,724.0,21.110000000000017,Isringhausen,isrinja01,11.119999999999996,1.06
2187,2187,544.0,66.03,0.30951317552478785,1082.0,170.0,N,260.01,39.0,0.3772091163534586,0.8167883928161652,358.02,58.0,0.43957927646270656,0.0,Derek Sanderson,2747.0,3465.0,Jeter,jeterde01,1923.0,71.83
2188,2188,267.02,17.070000000000007,0.2672685282385052,681.0,94.0,N,138.01,34.0,0.36781609195402293,0.7852399844587471,165.01,30.0,0.417423892504724,0.0,Matthew,1334.0,1273.0,Lawton,lawtoma02,756.0,15.04
2189,2189,4.159999999999997,1.1800000000000002,0.17007304655795769,3.1599999999999966,0.0,N,0.19000000000000006,0.0,0.17898408545890565,0.37521370251785946,0.19000000000000006,1.0,0.19622961705895375,0.0,Esteban Antonio,379.0,46.1,Loaiza,loaizes01,16.12,-0.04
2190,2190,309.0,22.08,0.29473503097040604,555.0,71.0,N,76.01,20.0,0.3597354660104583,0.7544687764027501,47.03,64.0,0.3947333103922918,0.0,Mark David,1726.0,1713.0,Loretta,loretma01,768.0,19.34
2191,2191,0.11,0.11,0.21653543307086626,0.11,0.0,N,0.11,0.0,0.2331406551059731,0.579597348019359,0.11,0.0,0.3464566929133859,0.0,Matthew Bruce,315.0,1.1,Mantei,mantema01,0.11,0.17
2192,2192,118.03,32.03,0.2741714053614947,229.01,9.0,N,21.050000000000004,11.0,0.33566788357395744,0.7094493620467437,89.03000000000002,20.0,0.3737814784727863,0.0,Quinton Antoine,998.0,675.01,McCracken,mccraqu01,359.01,0.39
2193,2193,0.11999999999999998,0.11999999999999998,0.10810810810810807,0.11999999999999998,0.0,N,0.11999999999999998,0.0,0.19512195121951215,0.9518787079762688,0.11999999999999998,0.0,0.7567567567567566,0.0,James Jason,474.0,0.11999999999999998,Mecir,mecirji01,0.11999999999999998,0.22
2194,2194,209.0,6.099999999999998,0.2700573065902579,449.0,30.0,Y,208.01,30.0,0.3425531914893617,0.8144323700949013,18.070000000000004,33.0,0.4718791786055396,0.0,Phillip Joseph,1217.0,1131.0,Nevin,nevinph01,584.0,15.81
2195,2195,0.12999999999999998,0.12999999999999998,0.14039735099337733,0.12999999999999998,0.0,N,0.12999999999999998,0.0,0.1477347340774785,0.33978771420992865,0.12999999999999998,0.0,0.19205298013245012,0.0,Christopher John,337.0,2.119999999999997,Nitkowski,nitkocj01,1.12,
2196,2196,131.0,19.03,0.27858142790480633,203.0,19.0,N,46.01,7.0,0.34411764705882353,0.7659981883560704,56.0,15.0,0.4218805412972469,0.0,Alex,807.0,597.0,Ochoa,ochoaal01,320.0,6.46
2197,2197,113.01,14.03,0.2740899357601713,265.0,25.0,N,12.079999999999998,13.0,0.3510758776896942,0.7011015736211716,37.03999999999999,24.0,0.3500256959314775,0.0,Orlando,1206.0,640.0,Palmeiro,palmeor01,306.0,2.72
2198,2198,85.00999999999998,2.09,0.25311475409836065,84.03,15.0,N,40.03,8.0,0.2968305355470829,0.6871780765306894,1.1,10.0,0.3903475409836065,0.0,Eduardo Rafael,564.0,386.0,Perez,perezed02,137.02,1.88
2199,2199,5.0699999999999985,0.1,0.11699841136342397,10.05,1.0,N,4.08,0.0,0.1596408192152873,0.3584540142437893,0.1,1.0,0.19881319502850206,0.0,Robert Alan,209.0,25.040000000000006,Person,persoro01,13.04,0.04
2200,2200,379.02,10.09,0.2731463014670035,936.01,74.0,Y,275.02,78.0,0.3740400782205113,0.8481479670782118,20.050000000000004,47.0,0.4741078888577005,0.0,Jorge Rafael,1829.0,1664.01,Posada,posadjo01,900.01,42.69
2201,2201,327.0,36.02,0.2842667649226234,432.0,55.0,N,123.0,22.0,0.3393513874958208,0.7651140993602276,42.04999999999999,67.0,0.4257627118644068,0.0,Joseph Gregory,1522.0,1543.0,Randa,randajo01,697.0,21.29
