player_id,WAR
barkeal01,0.03
barkean01,0.15
barkegl01,0.34
barkeke01,-0.31
barkele01,-0.45
barkera01,-0.17
barkeri01,0
barkese01,-0.02
barklbr01,0
barklje01,0.01
barklre01,-0.25
barklsa01,8.48
barlomi01,0.03
barloto01,1.52
barmebr01,-0.03
barmecl01,15.42
barnaba01,-0.69
barnach01,0.43
barneau01,2.51
barnebi01,-0.01
barnebo01,-0.04
barnebr01,0.14
barnebr02,1.46
barneda01,9.35
barneda02,0
barneed01,0.77
barneep01,-0.11
barnefr01,0.08
barnefr02,-0.2
barneho01,0.03
barneja01,0.06
barneje01,0.65
barnejo01,-0.06
barneju01,0
barnela01,-0.89
barnelu01,-0.28
barnema01,0.03
barnere01,2.19
barnere02,-0.77
barneri01,0
barnero01,27.93
barnesa01,0.02
barnesc01,0.01
barnesk01,0.96
barneto01,0.03
barnevi01,-4.01
barnhcl01,8.82
barnhed01,0
barnhle01,-0.05
barnhtu01,4.39
barnhvi01,-0.43
barnibi01,-2.66
barnige01,-0.29
barnoed01,0
barnwch01,-0.47
barojsa01,0.12
baronda01,-0.04
barondi01,-0.16
baronst01,-0.28
barracu01,-0.37
barrage01,0.36
barraky01,0.02
barrbo01,-1.01
barrbo02,0
barre01,-0.19
barreaa01,0.05
barrebi01,-0.23
barrebi02,5.58
barrebo01,-0.06
barredi01,0.23
barrefr01,-0.14
barrefr02,-0.33
barreja01,0.03
barreji01,19
barrejo01,5.09
barrema01,-0.32
barrema02,9.13
barremi01,2.7
barrere01,-2.6
barreti01,-0.03
barreto01,-0.22
barrifr01,0.08
barrijo01,-0.24
barrima01,0
barriyh01,0
barrji01,0.47
barrocu01,-0.34
barrofr01,-0.87
barrofr02,0
barrore01,-0.2
barroto01,1.77
barrsc01,-0.8
barrst01,0.01
barryed01,-0.14
barryha01,-0.03
barryja01,25.93
barryje01,-1.15
barryke01,-0.02
barryri01,-0.09
barrysh01,3.51
barryto01,0
bartedi01,40.2
barteki01,0.56
barthbo01,0
barthji01,-0.04
barthjo01,0.09
barthle01,-0.06
bartito01,-1.76
bartlbi01,-0.1
bartlbo01,-0.49
bartlir01,-0.59
bartlja01,18.38
bartobo01,1.77
bartobr01,0.55
bartocl01,0.09
bartoda01,-0.05
bartoda02,9.11
bartoha01,-0.23
bartosh01,0.05
bartovi01,0.26
bartsch01,-0.26
barziph01,0
basakch01,-0.02
basgamo01,-1.52
bashaal01,-0.26
bashowa01,-0.27
basined01,-0.88
baskeji01,0.13
bassan01,0.07
bassbr01,0.01
bassdi01,-0.03
bassdo01,0.06
bassech01,10.29
bassich01,-0.03
bassjo01,0.44
basske01,14.8
bassljo01,19.61
bassno01,-0.3
bassra01,-1.13
bastaan01,0.18
bastich01,2
batchem01,1.56
batchjo01,-0.02
batchri01,0
batemjo01,0.93
batesaa01,0.03
batesbi01,-0.13
batesbu01,-0.07
batesch01,-0.06
batesde01,-0.64
batesdi01,0
batesfr01,0.22
batesja01,-2.5
batesjo01,-0.09
batesjo02,20.55
batesra01,1.22
bathebi01,-0.08
batiske01,-0.05
batiski01,-4.37
batismi01,-1.57
batisra01,0.05
batisto01,13.73
batscbi01,0.03
battala01,0.04
batteea01,18.74
battege01,-0.08
battijo01,6.13
battlal01,-0.58
battlho01,0.11
battlji01,0.11
battoch01,0
battsma01,2.52
baueral01,-0.08
bauerha01,26.57
bauerlo01,0
bauerri01,0.09
bauerru01,1.06
bauertr01,-0.13
baughju01,-0.25
baumabu01,0.01
baumafr01,1.66
baumapa01,3.35
baumeji01,-0.03
baumgge01,0.16
baumgha01,0.03
baumgjo01,-0.52
baumgro01,-3.47E-18
baumgst01,-0.14
baumhfr01,7.45
bausege01,-0.17
bautaed01,0.01
bautida01,-0.36
bautide01,0.1
bautijo01,-0.21
bautijo02,33.06
bautira01,-0.24
baxesji01,1
baxesmi01,-0.97
baxtemi01,0.52
baxtemo01,-0.27
bayha01,11.07
bayja01,24.34
bayledi01,0.06
baylijo01,0.03
baylodo01,28.33
baynebi01,1.22
bazaryo01,-0.05
beachbr01,-0.25
beachja01,-0.5
beallbo01,-0.38
bealljo01,0.36
beallwa01,-0.19
bealsto01,0.8
beamal01,-0.01
beamer01,-0.08
beamoch01,-0.12
beamoch02,-0.45
beamotr01,-0.81
beamtj01,-0.05
beanbe01,0.4
beanbi01,-1.95
beanco01,0
beanebi01,-1.56
beanjo01,-0.02
beardda01,0.13
beardge01,1.39
beardmi01,-0.02
beardol01,8.04
beardra01,-0.19
beardte01,-0.52
bearega01,0.01
bearnla01,0.2
bearske01,0
beaslch01,0.01
beaslle01,-0.59
beatied01,-1.47
beatlda01,-0.16
beatope01,0.04
beattbl01,0.06
beattde01,-0.19
beattji01,0.14
beaucji01,-1.49
beaumgi01,30.2
beavabl01,0
beavee.01,-0.12
beazljo01,-0.29
becanbu01,0.08
bechlst01,0
bechtge01,3.57
beckbo01,-0.03
beckch01,0.01
beckch02,0.01
beckcl01,0.95
beckebe01,7.83
beckebo01,-0.03
beckech01,0.04
beckegl01,15.52
beckehe01,-0.05
beckehe02,1
beckejo01,-0.06
beckejo02,0.52
beckema01,-0.1
becker01,2.52
beckeri01,8.32
beckero01,0
beckfr01,-0.29
beckfr02,0.37
beckge01,0
beckhgo01,5.67
beckhti01,4.54
becklja01,61.47
beckmbi01,0.24
beckmji01,-0.04
beckri01,-0.06
beckro01,0.38
beckwjo01,-0.03
beckzi01,1.38
becquju01,-2.29
bedarer01,0.15
bedelho01,-0.95
bedfoge01,-0.08
bedgoph01,0.04
bediehu01,-1.26
bednaan01,0
bedroca01,0.02
bedrost01,-0.52
beebefr01,-1.19
beeched01,0.03
beeched02,-0.3
beechma01,-0.16
beechro01,-0.03
beeleda01,0.04
beelejo01,-0.07
beenean01,0
beenefr01,-0.14
beerscl01,0
beggsjo01,-0.42
begleed01,-0.63
beglege01,-0.32
begleji01,0.03
behanpe01,-0.31
behelst01,-0.16
behenri01,0.23
behneme01,-0.02
behrmha01,-0.77
beimejo01,0.51
beirnke01,0.25
bejmaol01,0.59
belanma01,41.04
belarwa01,0.27
belchke01,0.25
belchti01,-0.64
beldeir01,0.14
belfimi01,0
belinbo01,-0.34
belinst01,0.36
belisma01,-0.19
belisro01,0.06
belitto01,-0.01
belivje01,0.01
belkti01,-0.2
bellast01,-0.48
bellaze01,-0.67
bellbe01,4.79
bellbi01,-0.07
bellbu01,66.07
bellch01,-0.15
bellch02,0
bellda01,15.22
bellde01,13.08
belleal01,39.94
beller01,0.04
bellfe01,1.13
bellfr01,-0.46
bellga01,1.89
bellge01,-0.79
bellge02,19.88
bellgu01,15.32
bellhe01,0.22
bellhi01,-1.51
bellhma01,7.97
bellicl01,-0.16
bellico01,4.15
bellira01,0.1
belliro01,20.73
bellja01,36.9
bellje01,-0.07
belljo01,-1.16
belljo02,1.19
bellju01,0.36
bellke01,0.23
bellle01,10.5
bellmi01,-0.42
bellmi02,0.19
bellmja01,0.06
belloed01,-0.17
belloro01,-1.9
bellra01,-0.04
bellro01,-0.21
bellru01,-0.04
bellte01,-0.02
belltr01,0.01
belnovi01,-0.13
belowdu01,0.01
beltbr01,19.92
beltrad01,93.86
beltrca01,69.79
beltren01,0
beltres01,-2.08
beltrfr01,0.04
beltrom01,0
beltrri01,0.06
bemisha01,10.43
benarma01,8.59
benavfr01,-0.65
benchjo01,74.99
bendech01,5.54
benedar01,-0.07
benedbr01,7.3
benesal01,0.09
benesan01,0.34
benesjo01,-0.01
bengera01,-1.53
bengobe01,-0.52
beninan01,3.12
beniqju01,9.95
benitar01,0.3
benitya01,-0.57
benjami01,6.81
benjast01,-2.7
bennech01,39.1
benneda01,0
bennede01,0.88
benneer01,0.01
bennefr01,-0.06
bennefr02,-0.12
bennega01,-3.05
bennehe01,-0.93
benneik01,-0.86
benneje01,0.2
bennejo01,0
bennejo02,-0.04
bennepu01,1.5
bennesh01,0.08
bennhe01,0
benoijo01,0.24
bensoal01,-0.08
bensojo01,-0.66
bensokr01,-0.2
bensove01,0.1
bentlcy01,-0.14
bentlja01,2.18
bentoal01,-5.97
bentobu01,-0.9
bentola01,-2.21
bentora01,-0.19
bentoru01,-2.08
bentosi01,0
bentzch01,0.06
benzito01,-2.73
benzjo01,-2.74
berarjo01,-1.84
berbelo01,3.83
berblje01,-0.18
bereja01,0.48
berenbr01,0.98
berenju01,0.19
beresja01,-0.12
bergaau01,3.11
bergda01,1.16
bergebi01,-13.48
bergebo01,-2.41
bergebr01,-1.27
bergebr02,0.18
bergecl01,-0.33
bergehe01,-0.86
bergejo01,0.82
bergejo02,0.07
bergema01,0.05
bergepe01,-2.82
bergetu01,0.25
bergewa01,42.1
berghjo01,-0.14
berghma01,0.75
bergju01,0
bergmal01,0.04
bergmch01,-0.13
bergmda01,6.99
bergmdu01,0
bergmja01,-0.76
bergmo01,-4.38
bergmse01,-0.33
bergowi01,-0.44
berkefr01,-0.08
berkeja01,-0.03
berkena01,-0.12
berkmla01,51.66
berlyja01,-0.26
bermabo01,0
bernacu01,-0.37
bernadw01,0.26
bernajo01,0
bernaro01,1.17
bernato01,13.05
bernavi01,-0.01
bernead01,0
bernhbi01,-1.49
bernhju01,-1.02
bernhwa01,0
bernica01,-0.19
bernido01,0.59
berojo01,-0.34
berrada01,5.44
berrade01,-0.01
berrayo01,59.47
berrera01,-4.03
berrijo01,0.16
berroan01,0.97
berroge01,7.39
berrych01,-0.66
berrych02,5.38
berrycl01,-0.41
berryda01,0.22
berryjo01,0.05
berryjo02,0.09
berryjo03,-0.08
berryke01,15.32
berryne01,-1.95
berryqu01,0.84
berryse01,4.85
berryto01,-0.01
bertafr01,-0.33
bertedi01,2.95
berteha01,0.08
berthha01,-0.09
bertomi01,0.01
bertore01,-1.18
bertrle01,0
beruman01,0
besanfr01,-0.03
beschbo01,21.21
bessedo01,-0.53
bessehe01,0.26
besti01,0.07
bestka01,0.04
beswiji01,-0.4
betande01,0.04
betanra01,0.32
betanyu01,-2.45
betchfr01,-0.42
betemwi01,3.03
bethach01,-0.76
bethebi01,-0.04
bethkji01,-0.06
betteje01,0
bettela01,1.12
bettich01,-0.35
bettsha01,-0.07
bettshu01,0.24
bettsmo01,24.07
betzebr01,1.36
bevacku01,-3.77
bevanha01,-0.05
bevenbi01,-1.79
beverja01,0
bevilbe01,0.07
bevilbr01,0.03
bevillo01,-0.05
bevilmo01,-0.54
biagijo01,0.01
biancbu01,-1.54
biancje01,0.54
biancto01,-0.24
biasaha01,-0.29
bibbyji01,0.99
bibenau01,-0.04
bicheda01,5.47
bickfve01,-1.36
bickhda01,0.04
bicknch01,-0.02
biddlro01,-0.15
bielaos01,-0.83
bielemi01,-1.52
biemiha01,-0.17
bierblo01,14.02
bierbni01,0.32
bierdra01,0.01
biermch01,0
