,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR
10187,18.05,5.039999999999999,0.24175355450236966,27.02,4.0,N,6.039999999999999,1.0,0.29238275240648764,0.6437334633069616,7.059999999999999,2.0,0.3513507109004739,Mendy,190.0,102.02,Lopez,lopezme01,45.02,8.0,-0.46
10188,394.01,7.069999999999999,0.27851367624290385,548.01,52.0,Y,223.01,45.0,0.34154326374747773,0.8053622900677944,30.03,84.0,0.4638190263203166,Michael Averett,1601.0,1619.0,Lowell,lowelmi01,771.0,13.0,24.8
10189,1.01,0.02,0.1509433962264151,4.0,0.0,N,1.01,0.0,0.21052631578947367,0.4384508440913604,0.02,0.0,0.22792452830188675,Marty Thomas,35.0,8.0,Malloy,malloma01,4.0,2.0,-0.5
10190,0.01,0.01,0.0033333333333333335,1.0,0.0,N,0.01,0.0,0.2525,0.2758333333333333,2.0,0.0,0.023333333333333334,Gregory Alfred,13.0,0.01,Martinez,martigr01,2.0,1.0,-0.16
10191,98.0,10.069999999999999,0.26229508196721313,170.0,15.0,N,29.050000000000004,14.0,0.32149446494464945,0.6889586042889118,10.059999999999999,31.0,0.36746413934426225,Ramon E.,798.0,512.0,Martinez,martira03,223.01,13.0,-0.77
10192,10.01,0.03,0.22527472527472528,18.009999999999998,1.0,N,3.0,2.0,0.29415224743885104,0.6242071924937961,4.01,3.0,0.33005494505494504,Jason Ramond,110.0,41.0,Maxwell,maxweja01,20.0,3.0,-0.09
10193,2.02,0.04,0.19230769230769232,9.01,1.0,N,2.03,0.0,0.2841722531530507,0.581479945460743,0.04,0.0,0.2973076923076923,Scott Michael,44.0,15.0,McClain,mcclasc01,11.0,4.0,-0.52
10194,89.01,10.04,0.2507130730050934,113.01,24.0,N,25.02,16.0,0.30224959744868446,0.6571788560791316,33.019999999999996,15.0,0.3549292586304471,Joseph Earl,754.0,443.01,McEwing,mcewijo01,217.01,9.0,0.93
10195,0.02,0.02,0.0531299316149395,0.02,0.0,N,0.02,0.0,0.054125065685759324,0.1135674644232659,0.02,0.0,0.05944239873750658,Rafael Eduardo,32.0,1.01,Medina,medinra01,1.01,2.0,-0.26
10196,24.01,0.05,0.2826086956521739,68.0,5.0,N,15.03,11.0,0.3861788617886179,0.8359373158948981,2.0299999999999994,5.0,0.4497584541062802,Mitchell Wade,155.0,117.0,Meluskey,melusmi01,56.0,5.0,1.88
10197,67.01,7.059999999999999,0.2709769585253456,88.0,17.0,N,14.04,5.0,0.3316791354945968,0.7162505640660254,9.03,13.0,0.38457142857142856,Louis William,423.0,294.01,Merloni,merlolo01,138.0,10.0,3.03
10198,0.02,0.02,0.0776923076923077,1.01,0.0,N,0.02,0.0,0.14418272662384013,0.23110580354691707,2.01,0.0,0.08692307692307694,Michael Henry,8.0,1.01,Metcalfe,metcami01,0.02,2.0,-0.23
10199,221.01,11.059999999999999,0.27143719806763283,438.01,41.0,N,66.03,34.0,0.360074836491151,0.7647306335926003,14.059999999999999,36.0,0.4046557971014492,Douglas Andrew,1087.0,899.0,Mientkiewicz,mientdo01,422.02,13.0,11.87
10200,296.01,15.059999999999999,0.2738907849829352,564.0,78.0,N,170.01,17.0,0.3579260360527783,0.8101785957797407,7.069999999999999,51.0,0.45225255972696243,Kevin Charles,1427.0,1284.0,Millar,millake01,648.0,12.0,14.19
10201,11.0,0.04,0.17665615141955837,20.009999999999998,2.0,N,5.02,0.0,0.22809274582614542,0.4872094650690476,1.03,3.0,0.2591167192429022,Ryan Dale,142.0,56.0,Minor,minorry01,30.0,4.0,-2.43
10202,217.01,6.089999999999998,0.27369285120532005,208.01,49.0,N,144.01,26.0,0.3067063392316071,0.7178098305034275,3.1099999999999985,63.0,0.41110349127182044,Benjamin Jose,1362.0,1317.01,Molina,molinbe01,457.01,14.0,10.65
10203,8.01,1.01,0.2345132743362832,8.01,0.0,N,4.01,0.0,0.2607153540446989,0.5928392478500086,1.01,0.0,0.33212389380530977,Shane Hartland,78.0,53.0,Monahan,monahsh01,20.0,2.0,-0.61
10204,0.01,0.01,1.0,0.01,0.0,N,0.01,0.0,1.0,8.0,0.01,0.0,7.000000000000001,Gregory Eugene,2.0,0.01,Mullins,mulligr01,0.01,1.0,0.0
10205,1.0,0.01,0.26666666666666666,2.0,0.0,N,0.01,0.0,0.35294117647058826,0.689607843137255,0.01,0.0,0.33666666666666667,Michael Robert,6.0,4.0,Neill,neillmi01,2.0,1.0,-0.02
10206,20.009999999999998,5.02,0.24152830188679245,23.009999999999998,6.0,N,9.02,1.0,0.27839931916100774,0.6276823380289323,2.0300000000000002,5.0,0.3492830188679245,Jose Miguel,212.0,128.01,Nieves,nievejo01,55.010000000000005,5.0,-1.58
10207,13.01,1.03,0.2885,18.009999999999998,2.0,N,1.03,1.0,0.33934502339202166,0.6976911772381755,1.03,0.0,0.35834615384615387,Hector,93.0,75.00999999999999,Ortiz,ortizhe01,29.0,4.0,0.95
10208,11.01,0.03,0.2358490566037736,15.01,2.0,N,7.01,0.0,0.29133515934089826,0.6785993102842944,0.03,1.0,0.3872641509433962,Willis Alexander,74.0,50.0,Otanez,otanewi01,28.009999999999998,3.0,-1.04
10209,0.02,0.02,0.188125,2.01,0.0,N,1.01,0.0,0.27873403664630764,0.6599840366463077,0.02,0.0,0.38125,Bronswell Dante,38.0,3.01,Patrick,patribr01,1.01,2.0,0.2
10210,193.0,30.03,0.27852672123254696,255.01,32.0,N,119.03,10.0,0.3228273578641675,0.7482366019662379,47.03,32.0,0.4254092441020703,Jason Lee,1259.0,1157.0,Payton,paytoja01,561.0,14.0,15.43
10211,7.01,0.03,0.20855614973262032,13.01,0.0,N,5.01,0.0,0.25619427614403234,0.5829322440584708,0.03,3.0,0.3267379679144385,Angel Maria,71.0,39.0,Pena,penaan01,18.0,3.0,0.11
10212,10.03,1.05,0.22348484848484848,43.01,0.0,N,14.01,1.0,0.32905390148704877,0.7576902651234124,1.05,3.0,0.42863636363636365,Calvin Elroy,95.0,59.0,Pickering,pickeca01,37.01,6.0,0.35
10213,407.01,24.080000000000002,0.2802469135802469,308.0,129.0,N,188.01999999999998,68.0,0.31856133590237634,0.7386203208132132,15.089999999999998,58.0,0.42005898491083676,Anthony John,2059.0,2043.0,Pierzynski,pierzaj01,807.0,20.0,0.0
